Ibraheem Mokhalalati:a:a:personal:05364990473
محمد العمري:Moh123456:mohammed@gmail.com:electrical:0536789123
أحمد الخالدي:Ahmed789:ahmed.k@gmail.com:electrical:0556789432
عبدالله السيد:Abd2024:abdullah@gmail.com:electrical:0501234567
خالد المحمدي:Kh987654:khaled@gmail.com:electrical:0557891234
عمر الحربي:Omar2024:omar.h@gmail.com:electrical:0534567890
سعد القحطاني:Saad456:saad@gmail.com:electrical:0505678912
ياسر العتيبي:Yas789:yasser@gmail.com:electrical:0557894561
فهد السلمي:Fahad123:fahad@gmail.com:electrical:0501237894
زياد الغامدي:Ziad456:ziad@gmail.com:electrical:0556789123
طلال الشهري:Talal789:talal@gmail.com:electrical:0534567123
نواف البقمي:Nawaf123:nawaf@gmail.com:electrical:0505679123
سلطان الدوسري:Sultan456:sultan@gmail.com:electrical:0557891234
بندر العنزي:Bandar789:bandar@gmail.com:electrical:0501234789
ماجد الرشيدي:Majed123:majed@gmail.com:electrical:0556784561
حسن المالكي:Hassan123:hassan@gmail.com:plumber:0534567891
علي الزهراني:Ali456:ali.z@gmail.com:plumber:0505678912
محمد الشمراني:Moh789:moh.sh@gmail.com:plumber:0557894563
عبدالرحمن البلوي:Abdo123:abdo@gmail.com:plumber:0501237894
يوسف الحازمي:Yousef456:yousef@gmail.com:plumber:0556789124
فيصل العمري:Faisal789:faisal@gmail.com:plumber:0534567124
تركي القرني:Turki123:turki@gmail.com:plumber:0505679124
راشد الحربي:Rashed456:rashed@gmail.com:plumber:0557891235
عادل السبيعي:Adel789:adel@gmail.com:plumber:0501234790
منصور الغامدي:Mansour123:mansour@gmail.com:plumber:0556784562
خالد البلوي:Khaled456:khaled.b@gmail.com:plumber:0534567892
سعيد الزهراني:Saeed789:saeed@gmail.com:plumber:0505678913
هاني الشمراني:Hani123:hani@gmail.com:plumber:0557894564
وليد المالكي:Waleed456:waleed@gmail.com:plumber:0501237895
نايف العتيبي:Naif123:naif@gmail.com:tailor:0556789125
عبدالعزيز السلمي:Aziz456:aziz@gmail.com:tailor:0534567125
